Round;Circuit;Location;Date;Circuit Length (km);Laps;Race Length (km);Most Wins (driver - times);2021 Pole Position;2021 Winner;2021 Second Place;2021 Third Place;2021 Fastest Lap (driver - time)
1;Bahrain International Circuit;Bahrain;2022-03-20;5.412;57;308.238;Lewis Hamilton - 5;Max Verstappen;Lewis Hamilton;Max Verstappen;Valtteri Bottas;Valtteri Bottas - 1:32.090
2;Jeddah Corniche Circuit;Saudia Arabia;2022-03-27;6.174;50;308.450;Lewis Hamilton - 1;Lewis Hamilton;Lewis Hamilton;Max Verstappen;Valtteri Bottas;Lewis Hamilton - 1:30.734
3;Albert Park Circuit;Australia;2022-04-10;5.279;58;306.240;Michael Schumacher - 4;Lewis Hamilton;Valtteri Bottas;Lewis Hamilton;Max Verstappen;Valtteri Bottas - 1:25.580
4;Autodromo Internazionale Enzo e Dino Ferrari;Italy;2022-04-24;4.909;63;309.049;Max Verstappen - 1;Lewis Hamilton;Max Verstappen;Lewis Hamilton;Lando Norris;Lewis Hamilton - 1:16.702
5;Miami International Autodrome;United States;2022-05-08;5.410;57;308.370;None;None;None;None;None;None
6;Circuit de Barcelona-Catalunya;Spain;2022-05-22;4.675;66;308.424;Lewis Hamilton - 6;Lewis Hamilton;Lewis Hamilton;Max Verstappen;Valtteri Bottas;Max Verstappen - 1:18.149
7;Circuit de Monaco;Monaco;2022-05-29;3.337;78;260.286;Ayrton Senna - 6;Charles Leclerc;Max Verstappen;Carlos Sainz Jr.;Lando Norris;Lewis Hamilton - 1:12.909
8;Baku City Circuit;Azerbaijan;2022-06-12;6.003;51;306.049;None;Charles Leclerc;Sergio Pérez;Sebastian Vettel;Pierre Gasly;Max Verstappen - 1:44.481
9;Circuit Gilles Villeneuve;Canada;2022-06-19;4.361;70;305.270;Lewis Hamilton - 7;Sebastian Vettel;Lewis Hamilton;Sebastian Vettel;Charles Leclerc;Valtteri Bottas - 1:13.078
10;Silverstone Circuit;Great Britain;2022-07-03;5.891;52;306.198;Lewis Hamilton - 8;Max Verstappen;Lewis Hamilton;Charles Leclerc;Valtteri Bottas;Sergio Pérez - 1:28.617
11;Red Bull Ring;Austria;2022-07-10;4.318;71;306.452;Max Verstappen - 3;Max Verstappen;Max Verstappen;Valtteri Bottas;Lando Norris;Max Verstappen - 1:06.200
12;Circuit Paul Ricard;France;2022-07-24;5.842;53;309.690;Michael Schumacher - 8;Max Verstappen;Max Verstappen;Lewis Hamilton;Sergio Pérez;Max Verstappen - 1:36.404
13;Hungaroring;Hungary;2022-07-31;4.381;70;306.630;Lewis Hamilton - 8;Lewis Hamilton;Esteban Ocon;Lewis Hamilton;Carlos Sainz Jr.;Pierre Gasly - 1:18.394
14;Circuit de Spa-Francorchamps;Belgium;2022-08-28;7.004;44;308.052;Michael Schumacher - 6;Max Verstappen;Max Verstappen;George Russell;Lewis Hamilton;None
15;Circuit Zandvoort;Netherlands;2022-09-04;4.259;72;306.587;Jim Clark - 4;Max Verstappen;Max Verstappen;Lewis Hamilton;Valtteri Bottas;Lewis Hamilton - 1:11.097
16;Autodromo Nazionale di Monza;Italy;2022-09-11;5.793;53;306.720;Lewis Hamilton - 5;Max Verstappen;Daniel Ricciardo;Lando Norris;Valtteri Bottas;Daniel Ricciardo - 1:24.812
17;Marina Bay Street Circuit;Singapore;2022-10-02;5.063;61;308.706;Sebastian Vettel - 5;Charles Leclerc;Sebastian Vettel;Charles Leclerc;Max Verstappen;Kevin Magnussen - 1:42.301
18;Suzuka Circuit;Japan;2022-10-09;5.807;53;307.471;Michael Schumacher - 6;Sebastian Vettel;Valtteri Bottas;Sebastian Vettel;Lewis Hamilton;Lewis Hamilton - 1:30.983
19;Circuit of the Americas;United States;2022-10-23;5.513;56;308.405;Lewis Hamilton - 6;Max Verstappen;Max Verstappen;Lewis Hamilton;Sergio Pérez;Lewis Hamilton - 1:38.485
20;Autódromo Hermanos Rodríguez;Mexico;2022-10-30;4.304;71;305.354;Max Verstappen - 3;Valtteri Bottas;Max Verstappen;Lewis Hamilton;Sergio Pérez;Valtteri Bottas - 1:17.774
21;Autódromo José Carlos Pace;Brazil;2022-11-13;4.309;71;305.879;Alain Prost - 6;Valtteri Bottas;Lewis Hamilton;Max Verstappen;Valtteri Bottas;Sergio Pérez - 1:11.010
22;Yas Marina Circuit;Abu Dhabi;2022-11-20;5.281;58;306.183;Lewis Hamilton - 5;Max Verstappen;Max Verstappen;Lewis Hamilton;Carlos Sainz Jr.;Max Verstappen - 1:26.103
